Interval=	0.04 s		
ExcelDateTime=	4.23E+04	45:38.2	
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	BP	ECG	Integrated MSNA
Range=	5.000 V	100.00 mV	2.000 V
UnitName=	mmHg	*	*
TopValue=	500	*	*
BottomValue=	-500	*	*
288.8	84.29649	-0.2395313	-0.04203437
288.84	79.62032	-0.2153125	-0.02260156
288.88	75.65547	-0.2124219	0.04793125
288.92	76.44688	-0.2122656	0.07864063
288.96	78.05859	-0.19125	0.08280156
289	76.27226	-0.1054688	0.06169062
289.04	72.90195	-0.1701563	0.02605156
289.08	70.68633	-0.2454688	-0.01509062
289.12	69.25313	0.5705469	-0.0343
289.16	67.55742	-0.2695312	-0.03464063
289.2	66.46484	-0.2178906	-0.02825
289.24	65.22929	-0.1879688	-0.002128125
289.28	63.33203	-0.1347656	-0.01943438
289.32	70.04179	0.00546875	-0.03716094
289.36	107.4934	0.1007813	-0.04408437
289.4	118.5188	-0.1021875	-0.03711406
289.44	98.78593	-0.2408594	-0.03043906
289.48	89.17305	-0.2458594	-0.02272656
289.52	87.47656	-0.2298438	-0.02230938
289.56	86.8875	-0.2003906	-0.04578437
289.6	80.84805	-0.1897656	-0.04540625
289.64	77.1332	-0.191875	-0.04732656
289.68	77.77617	-0.1935156	-0.03864687
289.72	78.9789	-0.1927344	-0.01686094
289.76	76.94141	-0.1179688	0.0008875
289.8	73.96055	-0.1341406	-0.00938125
289.84	71.51328	-0.2417969	-0.02245313
289.88	69.66563	0.3204688	-0.007917188
289.92	68.17617	-0.03742188	-0.03370625
289.96	66.88164	-0.2532813	-0.0187125
290	66.06367	-0.219375	-0.02247187
290.04	64.12734	-0.1821875	-0.02410469
290.08	66.75391	-0.07476562	-0.02131562
290.12	98.79375	0.06335937	-0.04163594
290.16	121.4613	-0.0915625	-0.03887969
290.2	102.6813	-0.2857812	-0.02761875
290.24	90.72578	-0.3105469	-0.04838906
290.28	87.99101	-0.2897656	-0.05087188
290.32	87.38359	-0.2691406	-0.04107656
290.36	82.28672	-0.2625781	-0.04814844
290.4	77.34062	-0.2626563	-0.02498437
290.44	77.6582	-0.2614063	-0.01636875
290.48	79.37813	-0.27	-0.03965313
290.52	78.19297	-0.2521094	-0.03063281
