Interval=	0.04 s
ExcelDateTime=	4.3787678749791849e+04	11/18/19 16:17:23.982016
TimeFormat=	StartOfFile
DateFormat=	
ChannelTitle=	Fino. BP	ECG	Int MSNA Iowa
Range=	10.000 V	100.00 mV	10.000 V
UnitName=	mmHg	*	*
TopValue=	1000.00	*	*
BottomValue=	-1000.00	*	*
7522.169094	85.92477	-1.841992	1.015125
7522.209094	80.06117	-1.806445	1.002219
7522.249094	79.04957	-1.793555	0.9913438
7522.289094	80.08192	-1.816406	0.9936015
7522.329094	81.0527	-1.833203	0.9934922
7522.369094	79.45707	-1.820898	0.9833907
7522.409094	76.23276	-1.789453	0.9752422
7522.449094	72.54559	-1.77793	0.9813828
7522.489094	69.83475	-1.8	0.9532422
7522.529094	67.69537	-1.810352	0.9642735
7522.569094	66.13791	-1.763672	1.023945
7522.609094	65.49815	-1.646484	1.01825
7522.649094	64.83858	-1.74043	0.9683281
7522.689094	64.20816	-1.822461	0.9290234
7522.729094	63.34582	-1.204492	0.9428359
7522.769094	62.235	-1.428906	0.9378438
7522.809094	61.30244	-1.843359	0.9654297
7522.849094	60.59258	-1.853516	0.9808828
7522.889094	59.65033	-1.865625	0.9876563
7522.929094	59.14578	-1.856445	1.050039
7522.969094	67.23449	-1.797656	1.108047
7523.009094	94.72451	-1.677539	1.1265
7523.049094	105.0727	-1.566992	1.146805
7523.089094	102.9585	-1.734766	1.133445
7523.129094	96.71262	-1.848828	1.158562
7523.169094	94.05484	-1.837305	1.122344
7523.209094	92.65992	-1.805273	1.109469
7523.249094	87.95017	-1.808398	1.070852
7523.289094	83.20373	-1.82207	1.08282
7523.329094	82.37811	-1.814258	1.065094
7523.369094	82.0391	-1.805469	1.025711
7523.409094	81.09444	-1.772852	0.9931094
7523.449094	77.92593	-1.790039	0.9924844
7523.489094	74.0249	-1.806836	1.018562
7523.529094	70.67451	-1.821875	0.983961
7523.569094	68.02853	-1.799414	0.9593437
7523.609094	66.09088	-1.760938	0.9382188
7523.649094	65.09177	-1.689844	0.9575156
7523.689094	64.18307	-1.775391	0.9616484
7523.729094	63.62826	-1.843164	0.9370156
7523.769094	62.09912	-1.437305	0.9403047
7523.809094	61.37008	-1.25957	0.9659297
7523.849094	60.39955	-1.876563	0.9962734
7523.889094	59.30563	-1.911523	1.10482
7523.929094	59.04613	-1.892383	1.198805
7523.969094	57.27934	-1.849219	1.260914
7524.009094	61.61955	-1.781641	1.32943
7524.049094	85.34901	-1.704883	1.449977
7524.089094	100.8153	-1.627148	1.449969
7524.129094	100.236	-1.758594	1.408336
7524.169094	94.16988	-1.856836	1.349734
7524.209094	89.00402	-1.855859	1.287563
7524.249094	87.68832	-1.86582	1.192297
7524.289094	82.78638	-1.867578	1.11168
7524.329094	78.34316	-1.856055	1.075352
7524.369094	78.1074	-1.836133	1.060687
7524.409094	79.60742	-1.830859	1.037945
7524.449094	79.22914	-1.850781	1.028523
7524.489094	76.49905	-1.865039	0.998125
7524.529094	73.33701	-1.781055	0.9917969
7524.569094	69.70252	-1.763281	0.9900859
7524.609094	67.40205	-1.820312	0.9689844
7524.649094	65.86645	-1.931836	0.9612422
7524.689094	64.76705	-0.8701172	0.963375
7524.729094	64.23584	-1.816602	0.9751719
7524.769094	63.32146	-1.872656	0.9904063
7524.809094	62.50975	-1.85957	0.9913515
7524.849094	61.1473	-1.854883	0.9776953
7524.889094	60.20867	-1.832422	0.9862187
7524.929094	68.74705	-1.768555	1.090602
7524.969094	91.26727	-1.633398	1.194563
7525.009094	98.85912	-1.685156	1.325242
7525.049094	95.9693	-1.855078	1.37132
7525.089094	90.01609	-1.900391	1.524609
7525.129094	85.94258	-1.876563	1.610547
7525.169094	82.52205	-1.820117	1.58275
7525.209094	76.67283	-1.826172	1.445445
7525.249094	75.83008	-1.847852	1.332742
7525.289094	77.45474	-1.852734	1.210023
7525.329094	78.58654	-1.843945	1.136078
7525.369094	77.18475	-1.752344	1.055344
7525.409094	73.95236	-1.745117	1.025867
7525.449094	70.68742	-1.846289	1.049906
7525.489094	67.72283	-1.930078	1.038727
7525.529094	66.09856	-0.8722656	1.045195
7525.569094	64.99811	-1.754688	1.013336
